Monitor Name,SN_NO2,WE_Zero_elec_NO2,WE_Zero_total_NO2,AUX_Zero_elec_NO2,AUX_Zero_total_NO2,WE_sens_NO2,WE_sens_NO2_mv.ppb,sensor
MESA1,202261404,242,240,238,236,-347,0.253,MESA1
MESA2,202261438,233,232,227,227,-345,0.252,MESA2
MESA3,202261429,229,228,235,234,-366,0.267,MESA3
MESA4,202261430,236,234,247,245,-350,0.256,MESA4
MESA5,202261421,238,232,230,226,-321,0.234,MESA5
MESA6,202261432,237,236,237,236,-360,0.263,MESA6
MESA7,202261439,233,233,238,238,-352,0.257,MESA7
MESA8,202261435,228,228,240,238,-325,0.237,MESA8
MESA9,202261423,232,230,242,240,-341,0.249,MESA9
MESA10,202261406,239,238,236,234,-327,0.239,MESA10
MESA11,202261411,235,234,244,244,-322,0.242,MESA11
MESA12,202261422,227,224,250,248,-325,0.237,MESA12
MESA13,202261410,228,225,240,238,-314,0.229,MESA13
MESA14,202261453,233,233,230,230,-346,0.253,MESA14
MESA15,202261425,234,229,243,240,-311,0.227,MESA15
MESA16,202261424,240,237,245,242,-336,0.245,MESA16
MESA17,202261402,230,227,233,231,-328,0.239,MESA17
MESA18,202261407,234,230,238,233,-319,0.233,MESA18
MESA19,202261412,241,239,231,229,-351,0.256,MESA19
MESA20,202261427,251,250,241,240,-341,0.261,MESA20
MESA21,202261419,247,245,240,238,-294,0.215,MESA21
