Monitor Name,SN_O3,WE_Zero_elec_O3,WE_Zero_total_O3,AUX_Zero_elec_O3,AUX_Zero_total_O3,WE_sens_O3,WE_sens_O3_mv.ppb,sensor
MESA1,204260905,224,228,243,242,-430,0.314,MESA1
MESA2,204260933,235,245,235,236,-479,0.35,MESA2
MESA3,204260930,235,242,237,236,-479,0.35,MESA3
MESA4,204260937,236,245,236,238,-463,0.338,MESA4
MESA5,204260939,239,256,238,237,-439,0.32,MESA5
MESA6,204260944,254,260,241,241,-432,0.315,MESA6
MESA7,204260959,225,230,236,235,-451,0.329,MESA7
MESA8,204260956,239,246,234,230,-394,0.288,MESA8
MESA9,204260920,245,248,243,243,-413,0.301,MESA9
MESA10,204260904,253,258,236,234,-401,0.293,MESA10
MESA11,204260955,248,254,242,242,-454,0.331,MESA11
MESA12,204260901,240,242,239,237,-451,0.329,MESA12
MESA13,204260938,239,244,235,233,-442,0.323,MESA13
MESA14,204260908,241,245,245,244,-432,0.315,MESA14
MESA15,204260918,246,250,238,237,469,0.342,MESA15
MESA16,204260941,241,251,232,231,-461,0.337,MESA16
MESA17,204260917,233,237,240,239,-438,0.32,MESA17
MESA18,204260927,246,254,230,231,-493,0.36,MESA18
MESA19,204260924,233,242,244,241,-403,0.294,MESA19
MESA20,204260923,234,243,234,234,-456,0.333,MESA20
MESA21,204260925,229,237,231,244,-441,0.322,MESA21
