"","poll","sensor","r2","ct","pct_error","intercept","slope"
"CO_sensor.MESA10","CO_sensor","MESA10",0.0659529165546061,4,0.0000148983256826774,7.69318049990767,0.000247349718523635
"CO_sensor.MESA13","CO_sensor","MESA13",0.764898536693037,10,0.128138188801814,-0.387143584094609,0.00137073511811867
"CO_sensor.MESA4","CO_sensor","MESA4",0.0670084790449358,10,-0.000517936020866349,6.37258294671402,0.000509711778278611
"CO_sensor.MESA6","CO_sensor","MESA6",0.830029775291569,10,0.0507975778728171,-0.161168253666377,0.00147896162939597
"CO_sensor.MESA7","CO_sensor","MESA7",0.828774162027427,10,0.0670202349952044,-0.182709679866615,0.00135978916773657
"CO_sensor.MESA9","CO_sensor","MESA9",0.816086239717355,10,0.0313450045445217,-0.000448542810244187,0.00132163470140314
"CO_sensor.MESA8","CO_sensor","MESA8",0.822261580080855,10,0.056707953940309,-0.219823041895634,0.00148608152089469
"CO_sensor.MESA12","CO_sensor","MESA12",0.359742081747492,7,0.00310195118675771,-5.88336057536186,0.00211350005421421
"O3_sensor.MESA10","O3_sensor","MESA10",0.651775402658937,3,-0.57002618081772,238.904720991996,-1.55396969747985
"O3_sensor.MESA13","O3_sensor","MESA13",0.000138870119354188,55,-0.0000640570422223306,51.5202220369743,0.0248845886558231
"O3_sensor.MESA4","O3_sensor","MESA4",0.00262559493467802,55,-0.0115525170593083,105.550900466633,0.745575630487641
"O3_sensor.MESA6","O3_sensor","MESA6",0.00010259454311835,55,0.0000210889607471438,47.983423176354,-0.0263878514657354
"O3_sensor.MESA7","O3_sensor","MESA7",0.00249638762550099,55,0.00609371406454234,37.079794399211,-0.141812399308327
"O3_sensor.MESA9","O3_sensor","MESA9",0.000884512708180358,55,0.000699944221146158,44.6166189852771,-0.0695271036084116
"O3_sensor.MESA8","O3_sensor","MESA8",0.00728757396306248,55,-0.00351381654938566,21.1536054154126,-0.245304832598309
"O3_sensor.MESA12","O3_sensor","MESA12",0.838970955100077,6,-0.275583025219222,260.51670207942,-1.56405332178505
"O3_sensor.MESA1","O3_sensor","MESA1",0.596502037242883,38,-0.0118803992725243,3.39829031481064,0.0291550485758626
"O3_sensor.MESA2","O3_sensor","MESA2",0.405541301351417,38,-0.00131326766829855,16.8218233168808,0.194043404143353
"O3_sensor.MESA5","O3_sensor","MESA5",0.771133631890727,38,0.00188911641785443,0.164322797381863,0.00803785317710581
"NO_sensor.MESA10","NO_sensor","MESA10",0.131888658296109,4,0.000171227808140603,1081.6780813854,0.359453579521107
"NO_sensor.MESA13","NO_sensor","MESA13",0.851115453858735,9,0.0507123030109155,-98.0909682378722,0.80670263958799
"NO_sensor.MESA4","NO_sensor","MESA4",0.4070030070492,9,-0.035645040151466,817.636365186193,6.72034445112946
"NO_sensor.MESA6","NO_sensor","MESA6",0.906910240241406,9,0.356417265697029,-152.303946400746,0.952069412002118
"NO_sensor.MESA7","NO_sensor","MESA7",0.986690116327592,9,2.87668694324864,-163.191979906985,0.836934547826334
"NO_sensor.MESA9","NO_sensor","MESA9",0.908669454649886,9,0.240916251628899,-122.245770245088,0.846091280260341
"NO_sensor.MESA8","NO_sensor","MESA8",0.859056879471697,9,2.02365430350023,-127.394555089205,1.01227637967135
"NO_sensor.MESA12","NO_sensor","MESA12",0.952919940714245,7,0.296827656721842,-385.236269350057,1.00162339420683
"NO2_sensor.MESA10","NO2_sensor","MESA10",0.20501684823147,4,-0.00431030701503668,144.267554032192,0.491852905831115
"NO2_sensor.MESA13","NO2_sensor","MESA13",0.685263317350119,9,-0.0666357448140842,115.213076348673,0.501502815604147
"NO2_sensor.MESA4","NO2_sensor","MESA4",0.621046343722058,9,-0.0185620259270306,281.217650562738,1.69795873883511
"NO2_sensor.MESA6","NO2_sensor","MESA6",0.794442986257185,9,-0.0317167241440684,115.327965255048,0.691743984064982
"NO2_sensor.MESA7","NO2_sensor","MESA7",0.938088656534393,9,0.0413275475671835,123.80579811681,0.644950764176138
"NO2_sensor.MESA9","NO2_sensor","MESA9",0.696052512505372,9,-0.061427301006098,108.837342659243,0.569476112297854
"NO2_sensor.MESA8","NO2_sensor","MESA8",0.791693757744007,9,-0.0298919703122795,137.007889491956,0.695404091147005
"NO2_sensor.MESA12","NO2_sensor","MESA12",0.882711538938558,7,0.0439398071095274,77.8793052868392,0.619237647308501
"S1_val.MESA10","S1_val","MESA10",0.14201424731126,4,0.0000159379642691355,0.000300476502443606,0.000170410503333063
"S1_val.MESA13","S1_val","MESA13",0.591689962512866,9,-0.0918090356082716,0.0000377101167716644,0.000422448788698217
"S1_val.MESA4","S1_val","MESA4",0.166818931423975,9,-0.000000000000000154281969144687,0.000237559483660256,0.00883266523852414
